"수위계코드","수위계명","하천명","구청코드","구청명","송신지 자료수집 시각","수신서버 저장 시각","실시간 하천 수위값(m)","제방고(m)","계획홍수위(m)","하상고(m)","통제수위(m)"
"101","여수대교","탄천              ","101","강남구","2023-12-07 03:45:10","2023-12-07 03:45:52","15.59","25.17","24.25","15.20","22.67"
"102","대곡교","탄천              ","101","강남구","2023-12-07 03:44:10","2023-12-07 03:45:52","11.88","20.09","18.01","10.76","0.00"
"103","탄천2교","탄천              ","101","강남구","2023-12-07 03:44:40","2023-12-07 03:45:52","5.99","21.43","18.01","4.41","0.00"
"301","모래말옆","방학천            ","103","도봉구","2023-12-07 03:44:10","2023-12-07 03:45:52","21.33","24.63","23.89","20.95","0.00"
"302","노원교","중랑천            ","103","도봉구","2023-12-07 03:44:11","2023-12-07 03:45:52","21.77","30.92","28.43","21.44","0.00"
"303","계성교","우이천            ","103","도봉구","2023-12-07 03:44:15","2023-12-07 03:45:52","28.94","33.19","32.81","29.39","0.00"
"401","장월교","우이천            ","104","노원구","2023-12-07 03:45:10","2023-12-07 03:45:52","15.45","20.20","20.12","15.20","0.00"
"402","신의교","중랑천            ","104","노원구","2023-12-07 03:45:10","2023-12-07 03:45:52","33.76","40.02","39.32","32.87","0.00"
"403","월계1교","중랑천            ","104","노원구","2023-12-07 03:45:11","2023-12-07 03:45:52","13.97","21.16","19.95","13.17","15.83"
"801","용두교","정릉천            ","108","동대문구","2023-12-07 03:45:10","2023-12-07 03:45:52","12.48","17.12","17.05","11.92","0.00"
"901","성동교","중랑천            ","109","성동구","2023-12-07 03:45:10","2023-12-07 03:45:52","4.95","19.49","17.05","4.00","0.00"
"902","마장2교","청계천            ","109","성동구","2023-12-07 03:45:10","2023-12-07 03:45:52","8.30","18.34","17.05","7.21","0.00"
"1401","증산교","불광천            ","114","서대문구","2023-12-07 03:45:14","2023-12-07 03:45:52","6.75","14.28","13.54","6.70","9.20"
"1501","성산2교","홍제천            ","115","마포구","2023-12-07 03:44:11","2023-12-07 03:45:52","11.70","16.32","15.30","10.80","0.00"
"2001","고척교","안양천            ","120","구로구","2023-12-07 03:45:07","2023-12-07 03:45:52","5.73","15.44","14.07","3.09","0.00"
"2002","도림교","도림천            ","120","구로구","2023-12-07 03:45:07","2023-12-07 03:45:52","6.33","14.36","13.95","4.64","0.00"
"2003","광화교","목감천            ","120","구로구","2023-12-07 03:45:07","2023-12-07 03:45:52","7.61","14.30","12.76","7.59","0.00"
"2201","기아대교","안양천            ","122","금천구","2023-12-07 03:48:40","2023-12-07 03:45:52","10.23","18.35","16.18","9.70","0.00"
"2301","신대방역","도림천            ","123","관악구","2023-12-07 03:47:40","2023-12-07 03:45:52","13.07","17.55","16.36","11.95","0.00"
"2303","양산교","도림천            ","123","관악구","2023-12-07 03:47:40","2023-12-07 03:45:52","31.37","35.40","34.52","31.05",""
"2502","봉은교","탄천              ","125","송파구","2023-12-07 03:45:29","2023-12-07 03:45:52","4.73","21.43","16.00","5.20","0.00"
