년도,태풍번호,분석시각,위도,경도,태풍등급
2023,15,2023-10-07 06:00,9.7N,153.8E,TS
2023,15,2023-10-07 12:00,9.9N,153.7E,TS
2023,15,2023-10-07 18:00,9.9N,153.2E,TS
2023,15,2023-10-08 00:00,9.9N,152.8E,TS
2023,15,2023-10-08 06:00,9.9N,151.8E,TS
2023,15,2023-10-08 12:00,10N,151.2E,TS
2023,15,2023-10-08 18:00,10N,150.9E,TS
2023,15,2023-10-09 00:00,10.4N,150.2E,STS
2023,15,2023-10-09 06:00,11.1N,149.2E,STS
2023,15,2023-10-09 12:00,11.6N,148.7E,STS
2023,15,2023-10-09 18:00,12.6N,147.7E,STS
2023,15,2023-10-10 00:00,13.7N,146.5E,STS
2023,15,2023-10-10 06:00,14.2N,145.8E,TY
2023,15,2023-10-10 12:00,15.1N,145E,TY
2023,15,2023-10-10 18:00,16N,144.5E,TY
2023,15,2023-10-11 00:00,17.2N,144E,TY
2023,15,2023-10-11 06:00,18.1N,143.4E,TY
2023,15,2023-10-11 12:00,18.9N,143E,TY
2023,15,2023-10-11 18:00,19.7N,142.8E,TY
2023,15,2023-10-12 00:00,20.6N,142.9E,TY
2023,15,2023-10-12 06:00,21.8N,143.5E,TY
2023,15,2023-10-12 12:00,22.6N,144.2E,TY
2023,15,2023-10-12 18:00,24N,145.3E,TY
2023,15,2023-10-13 00:00,25.4N,146.9E,TY
2023,15,2023-10-13 06:00,27N,148.6E,TY
2023,15,2023-10-13 12:00,29.1N,150.5E,TY
2023,15,2023-10-13 18:00,31.4N,153E,TY
2023,15,2023-10-14 00:00,34N,156.4E,TY
2023,15,2023-10-14 06:00,37N,160.1E,LOW
