R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,MNGPS_NM,MNGPS_TELN,XCORD,YCORD,XX,YY,CD_GUBUN,geometry,경도,위도
9606.0,1144000000,237,서울특별시,마포구,1.0,학교,성산중학교,1144012200103650001028462,1144012200.0,1144068000,서울특별시 마포구 성지1길 32-13 (합정동),928,357,윤건호,02-332-0307,126.91564,37.54674,192545.39131,549695.18098,안전,POINT (126.91351567280128 37.546104485392064),126.91351567280128,37.546104485392064
9643.0,1144000000,225,서울특별시,마포구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",우리마포복지관,1144011000100010050000001,1144011000.0,1144060000,서울특별시 마포구 신촌로26길 10(노고산동),260,78,,,126.94262,37.55599,194930.22154,550719.96979,안전,POINT (126.94049513078822 37.55535401679021),126.94049513078822,37.55535401679021
9638.0,1144000000,211,서울특별시,마포구,1.0,학교,한서초등학교,1144010900100240140028803,1144010900.0,1144061000,서울특별시 마포구 대흥로24바길 27(염리동),576,221,선혜영,,126.94927,37.55347,195517.64292,550440.06294,안전,POINT (126.94714485856521 37.55283507808229),126.94714485856521,37.55283507808229
9609.0,1144000000,217,서울특별시,마포구,4.0,관공서,망원2동주민센터,1144012300104360014014679,1144012300.0,1144070000,서울특별시 마포구 방울내로7길 11(망원동),651,65,,02-3153-6841,126.90235,37.56024,191372.37263,551194.61376,안전,POINT (126.90022426144245 37.5596040720926),126.90022426144245,37.5596040720926
9608.0,1144000000,216,서울특별시,마포구,4.0,관공서,망원1동주민센터,1144012300104030002014026,1144012300.0,1144069000,서울특별시 마포구 포은로6길 10(망원동),147,56,,02-3153-6819,126.90566,37.55559,191664.48395,550677.77596,안전,POINT (126.90353621804255 37.554950141724945),126.90353621804255,37.554950141724945
9644.0,1144000000,235,서울특별시,마포구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",대흥동 자치회관,1144011000100010050000001,1144011000.0,1144060000,서울특별시 마포구 신촌로26길 10(노고산동),125,37,,,126.94264,37.55599,194931.37905,550719.96686,안전,POINT (126.94050825887487 37.555354023168945),126.94050825887487,37.555354023168945
9647.0,1144000000,228,서울특별시,마포구,4.0,관공서,서강동주민센터,1144011400101450015028768,1144011400.0,1144065500,서울특별시 마포구 독막로 165(창전동),77,29,,,126.9321,37.54773,193999.38729,549803.28021,안전,POINT (126.92996812840721 37.547089072269785),126.92996812840721,37.547089072269785
9646.0,1144000000,230,서울특별시,마포구,4.0,관공서,신수동주민센터,1144011100103350001000001,1144011100.0,1144063000,서울특별시 마포구 독막로 192(신수동),373,143,,,126.93521,37.54708,194274.09217,549730.79431,안전,POINT (126.93307721669245 37.54643768518675),126.93307721669245,37.54643768518675
9607.0,1144000000,222,서울특별시,마포구,4.0,관공서,합정동주민센터,1144012200104730000000003,1144012200.0,1144068000,서울특별시 마포구 월드컵로5길 11(합정동),176,67,,02-3153-6670,129.91213,37.5516,457357.93581,554218.73053,안전,POINT (126.90974320249245 37.55098009602706),126.90974320249245,37.55098009602706
9613.0,1144000000,220,서울특별시,마포구,4.0,관공서,연남동주민센터,1144012400102500009015743,1144012400.0,1144071000,서울특별시 마포구 성미산로29길 17-9 (연남동),349,105,,02-3153-6870,126.92321,37.56412,193215.61976,551622.98302,긴급,POINT (126.91988454460294 37.56387139841618),126.91988454460294,37.56387139841618
9648.0,1144000000,143,서울특별시,마포구,1.0,학교,서강초등학교,1144011400103980002008937,1144011500.0,1144065500,서울특별시 마포구 독막로 113(상수동),959,290,강성진,02-336-0561,126.92739,37.54839,193583.89247,549877.00816,안전,POINT (126.92526565974276 37.547750580788865),126.92526565974276,37.547750580788865
9650.0,1144000000,55,서울특별시,마포구,1.0,학교,서교초등학교,1144012000103410000010066,1144012000.0,1144066000,서울특별시 마포구 와우산로23길 20-27 (서교동),1238,375,이동훈,02-324-2875,126.92498,37.55486,193371.12888,550595.91641,안전,POINT (126.92285154099008 37.55422643734666),126.92285154099008,37.55422643734666
9605.0,1144000000,90,서울특별시,마포구,1.0,학교,성산초등학교,1144012200104270002028850,1144012200.0,1144068000,서울특별시 마포구 양화로3길 94(합정동),803,243,위두용,02-324-1407,126.91108,37.55333,192143.04579,550427.2797,긴급,POINT (126.9089590714505 37.55269473791118),126.9089590714505,37.55269473791118
9649.0,1144000000,234,서울특별시,마포구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",서강동자치회관,1144011500102810003029260,1144011500.0,1144065500,서울특별시 마포구 토정로 148-14 (상수동),152,58,,,126.92697,37.54506,193546.38585,549507.86668,긴급,POINT (126.92484613245013 37.54442428469219),126.92484613245013,37.54442428469219
9637.0,1144000000,79,서울특별시,마포구,1.0,학교,염리초등학교,1144010900101730004006638,1144010900.0,1144059000,서울특별시 마포구 토정로37길 37(염리동),130,39,이호준,,126.94589,37.54243,195217.57011,549214.43675,긴급,POINT (126.94375583839974 37.54178949076826),126.94375583839974,37.54178949076826
9651.0,1144000000,215,서울특별시,마포구,4.0,관공서,서교동주민센터,1144012000104780005011479,1144012000.0,1144066000,서울특별시 마포구 동교로15길 7(서교동),537,162,,02-3153-6750,126.9146,37.55559,192453.89113,550677.02124,긴급,POINT (126.91241525233559 37.55458253738648),126.91241525233559,37.55458253738648
9640.0,1144000000,198,서울특별시,마포구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",염리생활체육관,1144010900101740003020946,1144010900.0,1144059000,서울특별시 마포구 큰우물로 61(염리동),138,25,홍정실,02-3272-9401,126.94759,37.54182,195368.29622,549146.35797,긴급,POINT (126.943262600335 37.54117640372392),126.943262600335,37.54117640372392
9645.0,1144000000,99,서울특별시,마포구,1.0,학교,신석초등학교,1144011100104450001026679,1144011100.0,1144063000,서울특별시 마포구 대흥로 33(신수동),693,266,정선숙,02-715-2450,126.93365,37.54608,194136.19037,549619.92914,긴급,POINT (126.93589735357531 37.543739625497466),126.93589735357531,37.543739625497466
9783.0,1144000000,194,서울특별시,마포구,7.0,기타시설,마포대진유치원,1144012400104930006029172,1144012400.0,1144071000,서울특별시 마포구 성미산로 110(연남동),1024,310,이재녀,02-334-0161,126.91939,37.56188,192877.8755,551375.30571,긴급,POINT (126.91725941964843 37.561245573500784),126.91725941964843,37.561245573500784
2289.0,1123000000,340,서울특별시,동대문구,1.0,학교,전곡초등학교,1123010400101880000026781,1123010400.0,1123057000,서울특별시 동대문구 전농로 172(전농동),3500,1346,김유리,,127.05649,37.58046,204990.10154,553435.63951,안전,POINT (127.05436450123446 37.579822511939696),127.05436450123446,37.579822511939696
2279.0,1123000000,339,서울특별시,동대문구,1.0,학교,배봉초등학교,1123010400100030111025643,1123010400.0,1123057000,서울특별시 동대문구 사가정로 193(전농동),1287,495,조혜란,,127.06678,37.58012,205899.07364,553398.79055,안전,POINT (127.06465466985722 37.57948512269038),127.06465466985722,37.57948512269038
14445.0,1132000000,144,서울특별시,도봉구,1.0,학교,서울창림초등학교,1132010700104110008017719,1132010700.0,1132051200,서울특별시 도봉구 덕릉로63길 46(창동),11855,4559,박주연 실장,,127.04146,37.64318,203659.41962,560396.61206,안전,POINT (127.03933465020071 37.64254632571948),127.03933465020071,37.64254632571948
